https://www.michiganlottery.com/resources/number-tools?SELECTED_TOOL=PAST_RESULTS&SELECTED_GAME=6
"Draw Date","Winning Numbers","Drawing Type"
"05/19/2021","17,19,33,38,40,47","REGULAR DRAWING"
"05/19/2021","2,9,10,21,41,47","DOUBLE PLAY DRAWING"
"05/15/2021","4,13,21,33,38,44","REGULAR DRAWING"
"05/15/2021","4,6,28,33,35,42","DOUBLE PLAY DRAWING"
"05/12/2021","6,22,24,27,34,41","REGULAR DRAWING"
"05/12/2021","8,10,18,19,28,30","DOUBLE PLAY DRAWING"
"05/08/2021","10,12,17,27,36,47","REGULAR DRAWING"
"05/08/2021","5,6,13,25,35,41","DOUBLE PLAY DRAWING"
"05/05/2021","2,6,19,20,24,30","REGULAR DRAWING"
"05/05/2021","5,15,19,20,26,36","DOUBLE PLAY DRAWING"
"05/01/2021","1,12,16,17,30,47","REGULAR DRAWING"
"05/01/2021","5,26,30,33,34,45","DOUBLE PLAY DRAWING"
"04/28/2021","14,20,21,29,35,37","REGULAR DRAWING"
"04/28/2021","8,9,15,29,32,33","DOUBLE PLAY DRAWING"
"04/24/2021","4,8,21,27,40,41","REGULAR DRAWING"
"04/24/2021","4,10,14,21,30,38","DOUBLE PLAY DRAWING"
"04/21/2021","20,29,32,39,42,47","REGULAR DRAWING"
"04/21/2021","5,12,15,24,35,37","DOUBLE PLAY DRAWING"
"04/17/2021","14,16,27,29,40,42","REGULAR DRAWING"
"04/17/2021","4,25,36,41,45,46","DOUBLE PLAY DRAWING"
"04/14/2021","1,3,8,10,12,23","REGULAR DRAWING"
"04/14/2021","3,12,16,21,31,45","DOUBLE PLAY DRAWING"
"04/10/2021","3,12,27,29,36,44","REGULAR DRAWING"
"04/10/2021","1,23,27,37,43,47","DOUBLE PLAY DRAWING"
"04/07/2021","4,19,26,29,37,43","REGULAR DRAWING"
"04/07/2021","2,9,13,14,15,40","DOUBLE PLAY DRAWING"
"04/03/2021","9,14,18,21,33,47","REGULAR DRAWING"
"04/03/2021","21,25,27,30,36,38","DOUBLE PLAY DRAWING"
"03/31/2021","6,18,22,23,30,32","REGULAR DRAWING"
"03/31/2021","10,25,27,35,42,44","DOUBLE PLAY DRAWING"
"03/27/2021","4,7,13,17,35,41","REGULAR DRAWING"
"03/27/2021","7,18,22,33,35,36","DOUBLE PLAY DRAWING"
"03/24/2021","7,12,21,43,44,45","REGULAR DRAWING"
"03/24/2021","4,8,10,25,38,41","DOUBLE PLAY DRAWING"
"03/20/2021","17,20,31,32,34,43","REGULAR DRAWING"
"03/20/2021","7,18,19,37,40,41","DOUBLE PLAY DRAWING"
"03/17/2021","10,11,21,30,31,39","REGULAR DRAWING"
"03/17/2021","21,36,39,40,46,47","DOUBLE PLAY DRAWING"
"03/13/2021","1,26,30,32,34,44","REGULAR DRAWING"
"03/13/2021","2,10,16,20,39,43","DOUBLE PLAY DRAWING"
"03/10/2021","2,4,13,23,26,27","REGULAR DRAWING"
"03/10/2021","1,3,5,20,21,30","DOUBLE PLAY DRAWING"
"03/06/2021","7,13,19,27,38,46","REGULAR DRAWING"
"03/06/2021","1,20,21,30,39,47","DOUBLE PLAY DRAWING"
"03/03/2021","10,30,32,42,43,46","REGULAR DRAWING"
"03/03/2021","5,6,12,19,35,43","DOUBLE PLAY DRAWING"
"02/27/2021","7,12,14,34,40,43","REGULAR DRAWING"
"02/27/2021","11,12,18,44,46,47","DOUBLE PLAY DRAWING"
"02/24/2021","15,22,25,29,35,37","REGULAR DRAWING"
"02/24/2021","10,11,13,23,24,47","DOUBLE PLAY DRAWING"
"02/20/2021","1,7,10,25,32,37","REGULAR DRAWING"
"02/20/2021","1,13,15,26,28,44","DOUBLE PLAY DRAWING"
"02/17/2021","2,10,11,14,23,41","REGULAR DRAWING"
"02/17/2021","2,15,20,24,30,47","DOUBLE PLAY DRAWING"
"02/13/2021","15,24,26,29,40,43","REGULAR DRAWING"
"02/13/2021","17,23,36,41,46,47","DOUBLE PLAY DRAWING"
"02/10/2021","3,5,22,23,32,34","REGULAR DRAWING"
"02/10/2021","4,11,13,23,35,45","DOUBLE PLAY DRAWING"
"02/06/2021","8,21,29,34,43,45","REGULAR DRAWING"
"02/06/2021","1,6,20,21,44,47","DOUBLE PLAY DRAWING"
"02/03/2021","4,8,19,22,24,34","REGULAR DRAWING"
"02/03/2021","18,23,24,35,44,46","DOUBLE PLAY DRAWING"
"01/30/2021","12,28,29,30,39,40","REGULAR DRAWING"
"01/30/2021","2,5,12,14,30,40","DOUBLE PLAY DRAWING"
"01/27/2021","6,11,20,26,36,37","REGULAR DRAWING"
"01/27/2021","4,9,10,14,17,29","DOUBLE PLAY DRAWING"
"01/23/2021","11,31,37,40,46,47","REGULAR DRAWING"
"01/23/2021","4,8,23,31,33,36","DOUBLE PLAY DRAWING"
"01/20/2021","6,10,13,41,43,46","REGULAR DRAWING"
"01/20/2021","1,4,16,17,36,39","DOUBLE PLAY DRAWING"
"01/16/2021","23,24,31,36,40,42","REGULAR DRAWING"
"01/16/2021","3,10,30,34,36,38","DOUBLE PLAY DRAWING"
